HasCarLoan,LastCallDurationSecs,HasHHInsurance,LastContactMonth,PrevCampaignOutcome,EducationLevel,Age,LastContactDayOfMonth,NumAttemptsPrevCampaign,NumContactsCurrentCampaign,Balance,MaritalStatus,Job,CommunicationType,LastCallHourOfDay,HasCreditDefault,DaysPassed,CarInsurance
no,63,no,aug,,primary,47,27,0,4,6,married,services,cellular,9,no,-1,0
no,1148,yes,may,,tertiary,42,7,0,1,1435,married,management,cellular,13,no,-1,1
no,151,yes,jun,,secondary,51,2,0,3,1415,married,admin.,,11,no,-1,0
no,159,yes,jun,,tertiary,30,5,0,2,0,single,technician,cellular,11,no,-1,1
yes,788,no,jul,,primary,44,30,0,2,-4,single,unemployed,cellular,16,yes,-1,1
no,154,yes,may,,primary,36,23,0,2,711,married,blue-collar,,9,no,-1,0
yes,154,no,jul,,secondary,45,16,0,2,0,single,blue-collar,cellular,11,yes,-1,0
no,79,no,aug,,tertiary,55,29,0,4,430,single,management,cellular,13,no,-1,0
no,140,yes,jul,success,tertiary,30,5,8,1,0,single,technician,cellular,9,no,424,1
no,747,yes,may,,secondary,57,14,0,3,3625,divorced,management,,12,no,-1,0
no,147,yes,may,failure,tertiary,32,12,1,4,933,single,management,cellular,14,no,307,0
no,45,yes,feb,failure,primary,45,4,13,5,412,married,blue-collar,telephone,10,no,265,0
no,529,no,aug,,secondary,48,13,0,1,362,divorced,admin.,cellular,11,no,-1,1
yes,114,yes,apr,failure,secondary,37,16,1,1,345,married,services,cellular,14,no,148,0
no,766,yes,jul,,secondary,38,14,0,3,976,married,technician,cellular,14,no,-1,1
no,149,no,jul,,secondary,35,31,0,2,39,divorced,housemaid,cellular,15,no,-1,0
no,373,no,oct,,,77,20,0,1,1807,married,retired,telephone,11,no,-1,1
no,207,no,feb,,tertiary,25,3,0,1,2305,single,management,cellular,15,no,-1,0
no,229,no,mar,,tertiary,36,6,0,1,811,single,management,cellular,17,no,-1,1
no,717,no,may,,tertiary,33,20,0,1,148,married,management,,14,no,-1,0
no,192,no,apr,failure,tertiary,26,26,1,1,222,single,management,cellular,12,no,334,1
no,14,no,may,,secondary,49,8,0,1,275,single,admin.,,9,no,-1,0
no,363,no,aug,,secondary,43,25,0,7,136,married,technician,cellular,16,no,-1,1
yes,635,no,apr,,secondary,40,6,0,1,754,married,management,cellular,16,no,-1,1
yes,1090,yes,may,,secondary,58,5,0,1,2160,married,admin.,cellular,14,no,-1,1
no,121,no,aug,,tertiary,33,25,0,8,130,married,management,cellular,12,no,-1,0
no,91,yes,may,,secondary,53,6,0,3,-71,married,blue-collar,cellular,17,no,-1,0
no,663,no,aug,,primary,51,11,0,3,541,married,blue-collar,cellular,9,no,-1,1
no,131,no,jan,,secondary,27,28,0,1,3,single,student,cellular,14,no,-1,0
no,662,yes,jul,,tertiary,41,9,0,1,1583,divorced,services,cellular,9,no,-1,1
no,351,no,may,,,78,20,0,3,3208,married,retired,telephone,16,no,-1,1
no,95,yes,nov,,primary,53,20,0,2,1480,divorced,blue-collar,cellular,16,no,-1,0
no,587,yes,aug,,tertiary,34,7,0,2,674,divorced,technician,cellular,15,no,-1,1
no,48,no,jan,,secondary,42,28,0,1,466,divorced,services,cellular,15,no,-1,0
no,187,no,mar,success,tertiary,62,25,2,1,3371,married,management,cellular,10,no,178,1
no,60,yes,may,,tertiary,55,8,0,1,1513,single,unemployed,,17,no,-1,0
yes,168,no,jun,,primary,59,12,0,8,4949,married,retired,,12,no,-1,0
no,268,yes,apr,failure,primary,41,9,1,1,3658,married,blue-collar,cellular,15,no,330,0
yes,202,no,jul,,secondary,54,3,0,1,-165,married,services,,14,no,-1,0
no,265,yes,may,,secondary,27,19,0,5,-3,single,blue-collar,,15,yes,-1,0
no,359,yes,may,,tertiary,33,29,0,2,538,single,technician,,11,no,-1,0
no,233,yes,may,,secondary,32,13,0,3,322,single,blue-collar,cellular,9,no,-1,0
no,578,no,nov,,tertiary,38,18,0,2,3234,married,technician,cellular,14,no,-1,1
yes,176,yes,may,,secondary,29,9,0,2,487,single,services,,13,no,-1,0
no,261,yes,may,failure,secondary,33,7,1,1,-370,married,admin.,cellular,16,no,345,1
no,52,no,jan,failure,primary,56,29,1,2,29,divorced,entrepreneur,cellular,13,no,227,0
no,698,no,aug,,tertiary,32,14,0,2,169,married,management,telephone,15,no,-1,1
yes,348,yes,nov,,,51,17,0,1,-174,married,technician,cellular,9,no,-1,0
yes,574,no,jul,,secondary,25,8,0,2,102,single,technician,cellular,16,no,-1,1
no,1206,no,aug,,tertiary,46,8,0,4,4,married,management,cellular,9,no,-1,1
no,185,yes,may,,secondary,38,28,0,1,2751,single,technician,,14,no,-1,0
no,169,yes,nov,success,secondary,48,12,2,1,1230,married,blue-collar,cellular,13,no,196,1
no,603,no,aug,,secondary,60,5,0,3,0,divorced,management,cellular,14,no,-1,1
no,876,no,jul,,primary,58,7,0,1,565,married,retired,telephone,16,no,-1,1
no,200,no,feb,,secondary,57,22,0,1,1230,married,retired,cellular,13,no,-1,0
no,273,yes,jul,,secondary,34,7,0,5,-72,single,blue-collar,cellular,10,no,-1,0
no,167,no,nov,,,64,16,0,1,679,married,retired,telephone,11,no,-1,1
no,127,yes,may,,secondary,33,7,0,6,1221,married,blue-collar,cellular,13,no,-1,0
no,245,yes,aug,failure,secondary,34,5,10,2,661,divorced,admin.,cellular,17,no,183,1
no,245,yes,may,,secondary,33,28,0,2,-675,married,admin.,,15,yes,-1,0
yes,400,yes,nov,,secondary,32,18,0,2,4885,married,services,cellular,13,no,-1,0
no,317,yes,may,,secondary,37,15,0,1,-22,single,entrepreneur,cellular,17,no,-1,1
yes,111,yes,feb,other,tertiary,33,4,2,5,0,married,admin.,cellular,10,no,98,0
no,131,yes,may,,secondary,35,5,0,1,3854,married,admin.,cellular,17,no,-1,0
no,152,yes,may,,primary,47,6,0,1,206,married,blue-collar,,13,no,-1,0
yes,51,no,jun,,secondary,47,20,0,2,0,married,services,,14,no,-1,0
no,390,no,may,,tertiary,25,26,0,1,326,single,student,cellular,13,no,-1,1
no,394,no,nov,success,tertiary,41,9,2,1,79,single,unemployed,telephone,12,no,390,1
no,135,no,nov,,tertiary,78,17,0,1,1204,married,retired,telephone,15,no,-1,1
no,181,yes,jun,other,tertiary,32,23,1,1,903,married,technician,cellular,11,no,320,0
no,317,yes,may,failure,primary,31,14,5,1,554,married,blue-collar,cellular,13,no,352,0
no,33,no,jul,,primary,44,29,0,1,4389,married,technician,cellular,9,no,-1,0
no,645,no,feb,,primary,27,19,0,2,377,single,blue-collar,cellular,15,no,-1,1
no,444,no,apr,,tertiary,72,27,0,1,132,married,self-employed,cellular,11,no,-1,1
no,112,yes,sep,other,secondary,28,14,2,2,3,married,management,cellular,16,no,24,0
yes,626,yes,may,,secondary,22,8,0,6,54,single,technician,,10,no,-1,0
no,231,yes,feb,failure,secondary,34,11,2,2,1454,married,blue-collar,cellular,10,no,297,1
no,567,no,apr,,tertiary,39,20,0,1,1524,married,technician,cellular,15,no,-1,1
no,91,no,may,,tertiary,34,25,0,1,612,single,technician,cellular,9,no,-1,0
no,185,yes,jun,,secondary,48,12,0,2,580,single,blue-collar,,10,no,-1,0
no,301,no,mar,success,secondary,59,8,2,1,957,married,unemployed,cellular,9,no,89,1
no,77,yes,nov,,primary,53,19,0,1,6839,married,technician,cellular,11,no,-1,0
no,129,no,jun,,primary,57,17,0,1,1870,married,housemaid,,17,no,-1,0
no,43,yes,nov,,tertiary,32,18,0,1,11591,married,entrepreneur,cellular,14,no,-1,0
no,202,no,nov,,secondary,64,13,0,5,2031,married,retired,cellular,12,no,-1,0
no,437,yes,may,failure,secondary,38,6,1,4,435,single,technician,cellular,16,no,345,0
no,194,no,jul,success,tertiary,39,2,1,2,224,divorced,management,cellular,13,no,88,1
no,159,no,may,failure,secondary,31,25,1,1,8626,single,admin.,cellular,14,no,111,0
no,327,no,apr,,secondary,19,5,0,3,394,single,student,cellular,12,no,-1,1
no,206,yes,may,,secondary,55,15,0,1,697,married,services,,14,no,-1,0
no,743,yes,apr,,primary,23,16,0,1,1158,married,blue-collar,cellular,12,no,-1,0
no,460,yes,may,other,secondary,40,15,6,3,60,single,admin.,cellular,16,no,352,0
no,507,no,aug,success,secondary,56,10,2,1,3450,divorced,technician,cellular,9,no,181,1
no,54,no,aug,,secondary,34,28,0,4,0,single,technician,cellular,10,no,-1,0
no,415,no,aug,other,tertiary,60,31,3,5,474,married,management,cellular,16,no,186,1
no,425,no,nov,failure,secondary,33,9,1,1,6699,married,technician,cellular,9,no,462,0
no,127,yes,nov,failure,secondary,44,18,2,1,533,married,technician,cellular,10,no,110,0
no,510,yes,apr,,secondary,39,30,0,1,15,single,technician,cellular,13,no,-1,1
no,127,no,may,,secondary,48,14,0,1,2071,divorced,blue-collar,cellular,17,no,-1,0
no,57,yes,may,failure,primary,59,15,3,2,671,married,self-employed,cellular,10,no,332,0
no,75,no,nov,,tertiary,53,20,0,3,10,divorced,self-employed,cellular,13,yes,-1,0
no,70,yes,jan,,tertiary,32,28,0,2,1218,single,management,telephone,13,no,-1,0
no,1293,no,aug,,secondary,49,19,0,8,412,married,technician,cellular,15,no,-1,1
no,153,yes,may,failure,tertiary,34,15,1,1,11350,single,management,cellular,15,no,176,0
no,154,yes,jun,success,secondary,28,1,12,2,-46,single,blue-collar,cellular,17,no,91,1
no,83,yes,jul,,secondary,29,28,0,6,0,married,technician,cellular,13,no,-1,0
no,91,no,jan,other,secondary,45,30,1,1,440,divorced,admin.,cellular,9,no,2,0
no,246,yes,apr,,secondary,44,17,0,2,797,married,blue-collar,cellular,14,no,-1,0
no,89,no,feb,,tertiary,32,18,0,2,2340,single,technician,cellular,17,no,-1,1
no,140,no,aug,,secondary,48,11,0,1,201,divorced,unemployed,cellular,10,no,-1,1
no,143,no,feb,,tertiary,29,3,0,2,559,single,student,cellular,17,no,-1,0
no,195,no,aug,,primary,53,21,0,1,0,married,blue-collar,cellular,17,no,-1,0
no,504,yes,nov,,secondary,43,21,0,1,14144,married,self-employed,cellular,16,no,-1,1
no,144,yes,may,,primary,55,8,0,3,298,married,entrepreneur,,9,no,-1,0
no,489,yes,feb,failure,secondary,48,4,2,1,1730,married,blue-collar,cellular,15,no,178,1
yes,125,yes,jul,,secondary,49,29,0,19,124,divorced,admin.,cellular,14,no,-1,0
no,257,yes,aug,failure,tertiary,43,26,3,1,1696,single,management,cellular,15,no,474,1
no,345,yes,may,,tertiary,32,18,0,1,229,single,management,cellular,13,no,-1,0
no,1971,no,feb,,secondary,49,9,0,4,320,married,services,telephone,9,no,-1,1
no,134,yes,may,failure,primary,34,18,1,1,3868,married,blue-collar,cellular,15,no,350,0
no,543,yes,may,,secondary,27,28,0,2,54,single,services,,12,no,-1,1
yes,650,yes,may,,tertiary,42,7,0,1,157,married,entrepreneur,,11,no,-1,0
no,133,yes,apr,,tertiary,61,14,0,2,6,divorced,self-employed,cellular,9,no,-1,1
no,1242,no,jul,,primary,43,9,0,1,0,single,blue-collar,cellular,9,no,-1,1
yes,171,no,jul,,secondary,29,10,0,1,8079,single,blue-collar,cellular,10,no,-1,0
no,734,yes,aug,,secondary,41,11,0,4,456,married,management,cellular,11,no,-1,1
no,267,yes,jun,,,41,4,0,2,454,single,technician,,10,no,-1,0
no,192,no,oct,success,secondary,49,19,1,1,1946,married,blue-collar,cellular,17,no,95,1
no,406,yes,may,other,tertiary,38,15,5,4,5774,single,self-employed,cellular,16,no,359,1
yes,528,no,feb,failure,secondary,30,5,1,2,79,single,unemployed,cellular,9,no,196,0
no,131,no,aug,failure,tertiary,61,12,3,1,2,single,management,cellular,16,no,114,1
no,36,no,aug,,tertiary,60,21,0,1,70,married,management,cellular,11,no,-1,0
no,130,yes,may,,secondary,26,18,0,4,0,married,services,cellular,15,no,-1,0
no,86,no,may,,tertiary,32,27,0,1,168,married,technician,,11,no,-1,0
no,114,yes,may,,primary,51,7,0,2,98,married,management,,14,no,-1,0
no,236,yes,may,,secondary,35,25,0,1,204,single,technician,cellular,16,no,-1,1
no,430,no,jul,,tertiary,59,8,0,2,281,married,management,cellular,16,no,-1,0
yes,1439,no,jul,,primary,49,9,0,6,3,married,blue-collar,cellular,17,no,-1,1
yes,554,yes,may,failure,secondary,27,6,1,2,2,single,technician,cellular,11,no,356,1
no,405,yes,apr,,secondary,29,20,0,2,291,divorced,blue-collar,cellular,9,no,-1,0
no,470,no,jan,,primary,53,29,0,1,-462,married,blue-collar,cellular,16,yes,-1,1
no,98,yes,may,,secondary,30,18,0,1,631,single,services,cellular,14,no,-1,0
yes,1617,yes,jun,,tertiary,57,20,0,1,-92,married,management,,15,no,-1,1
no,98,no,nov,other,primary,19,10,2,2,245,single,student,telephone,14,no,110,0
no,63,no,aug,,secondary,48,22,0,8,23495,married,technician,cellular,11,no,-1,0
no,72,yes,jul,,secondary,31,16,0,1,105,divorced,technician,cellular,16,no,-1,0
no,863,yes,may,,primary,50,13,0,3,-522,married,blue-collar,cellular,11,no,-1,1
no,322,yes,may,,tertiary,35,23,0,1,643,single,management,,14,no,-1,0
no,401,yes,feb,other,secondary,26,5,1,2,598,single,services,cellular,10,no,272,0
no,110,yes,may,,primary,44,19,0,5,1161,married,services,,15,no,-1,0
no,201,yes,aug,,tertiary,44,8,0,2,1424,single,management,cellular,9,no,-1,0
no,170,yes,may,,secondary,33,14,0,7,49,married,self-employed,cellular,14,no,-1,0
no,51,yes,nov,other,secondary,32,18,6,2,1785,married,admin.,cellular,11,no,154,0
no,7,yes,may,failure,secondary,37,6,1,11,5436,single,technician,cellular,16,no,351,0
no,412,no,jul,,secondary,49,28,0,2,0,divorced,services,cellular,16,no,-1,1
no,269,yes,jul,,,37,30,0,17,892,married,admin.,cellular,17,no,-1,0
yes,24,no,aug,,secondary,47,29,0,17,947,married,blue-collar,cellular,10,no,-1,0
yes,175,yes,may,failure,secondary,33,12,5,1,2858,married,management,cellular,16,no,298,0
no,85,yes,may,failure,secondary,29,15,2,3,-219,single,technician,cellular,12,no,368,0
no,788,yes,may,other,tertiary,39,13,6,2,141,married,management,cellular,14,no,331,0
no,261,yes,may,,primary,47,14,0,3,275,married,housemaid,cellular,14,no,-1,0
yes,24,no,oct,,secondary,34,20,0,1,882,divorced,blue-collar,telephone,17,no,-1,0
no,129,yes,apr,,secondary,32,14,0,1,410,divorced,admin.,cellular,17,no,-1,0
no,182,no,jun,,secondary,27,4,0,1,339,single,services,cellular,16,no,-1,1
no,118,yes,aug,,tertiary,31,19,0,2,6562,married,technician,cellular,14,no,-1,0
no,603,yes,may,other,secondary,57,18,2,1,403,married,admin.,cellular,15,no,340,1
yes,136,no,feb,failure,secondary,34,5,2,1,1072,married,technician,cellular,16,no,252,0
no,627,no,nov,success,secondary,33,12,1,2,133,married,technician,cellular,11,no,192,1
no,226,no,jun,,primary,58,9,0,1,2348,married,housemaid,,16,no,-1,0
no,967,no,jul,,secondary,69,8,0,3,2473,married,retired,cellular,14,no,-1,1
no,254,no,jul,,tertiary,52,29,0,21,1453,married,management,telephone,17,no,-1,0
no,112,no,feb,,secondary,30,11,0,8,4448,single,admin.,cellular,9,no,-1,1
no,606,no,sep,success,secondary,80,8,13,3,8304,married,retired,telephone,17,no,91,1
no,144,yes,may,,secondary,33,21,0,2,1499,married,admin.,,9,no,-1,0
no,121,no,aug,,tertiary,30,22,0,2,0,single,technician,cellular,10,no,-1,0
no,251,yes,nov,failure,primary,33,19,2,1,3512,married,blue-collar,cellular,9,no,183,0
no,155,no,dec,success,tertiary,48,3,3,1,1147,married,management,cellular,14,no,120,1
no,355,no,aug,,secondary,60,12,0,4,711,married,admin.,cellular,11,no,-1,0
no,212,yes,jul,,tertiary,43,23,0,3,62,married,management,cellular,10,no,-1,0
no,1032,no,aug,,tertiary,52,19,0,3,7135,married,management,cellular,13,no,-1,1
no,306,yes,may,success,secondary,40,13,5,1,260,married,admin.,cellular,10,no,181,1
no,524,no,jul,,secondary,33,10,0,3,89,married,admin.,telephone,11,no,-1,0
no,66,no,may,,tertiary,34,26,0,1,699,single,management,cellular,10,no,-1,0
no,288,yes,oct,,secondary,54,29,0,3,962,married,housemaid,cellular,15,no,-1,1
no,273,no,aug,failure,tertiary,41,7,2,1,1536,married,admin.,cellular,16,no,95,1
yes,199,yes,nov,,secondary,35,17,0,1,0,married,technician,cellular,13,no,-1,0
no,37,no,aug,,tertiary,34,18,0,4,757,single,management,cellular,14,no,-1,0
no,28,yes,aug,,primary,51,26,0,20,6343,married,blue-collar,cellular,12,no,-1,0
no,525,yes,may,,,27,18,0,1,409,married,blue-collar,cellular,10,no,-1,1
no,755,yes,may,,primary,52,15,0,1,-191,divorced,blue-collar,,9,no,-1,1
no,85,no,aug,,tertiary,33,20,0,5,0,married,management,cellular,11,no,-1,0
yes,450,yes,apr,,secondary,37,2,0,2,0,single,management,cellular,15,no,-1,0
no,375,yes,jun,,tertiary,37,11,0,11,-119,single,management,,13,no,-1,0
no,1112,yes,apr,,secondary,28,20,0,3,1086,married,technician,cellular,10,no,-1,1
no,135,no,jun,,secondary,49,9,0,3,321,married,management,,17,no,-1,0
yes,346,no,feb,failure,secondary,50,4,3,2,167,single,admin.,cellular,17,no,191,0
no,84,no,jul,,secondary,39,7,0,1,2319,married,admin.,cellular,15,no,-1,0
no,1318,no,jun,,secondary,53,19,0,3,1319,married,technician,,12,no,-1,1
no,106,no,mar,,tertiary,61,10,0,1,997,married,management,cellular,12,no,-1,1
no,22,yes,aug,,tertiary,38,26,0,38,0,married,management,cellular,17,no,-1,0
no,52,yes,may,,secondary,57,13,0,2,1026,married,management,,10,no,-1,0
no,28,no,jul,,tertiary,52,1,0,1,3,divorced,management,,10,no,-1,0
no,278,no,apr,,,45,21,0,3,0,divorced,,cellular,12,no,-1,1
no,512,yes,jun,,secondary,57,19,0,1,5768,single,admin.,,13,no,-1,1
no,451,yes,aug,,tertiary,32,19,0,6,1625,single,management,cellular,13,no,-1,0
no,255,no,jan,success,tertiary,36,25,1,1,203,married,management,cellular,14,no,88,1
no,46,no,jul,,secondary,29,14,0,3,184,single,services,cellular,10,no,-1,0
no,168,yes,may,,secondary,31,13,0,2,222,single,services,cellular,10,no,-1,0
no,243,yes,may,,secondary,43,7,0,1,167,married,blue-collar,,14,no,-1,0
no,280,no,nov,,secondary,44,18,0,2,1442,married,entrepreneur,cellular,15,no,-1,0
no,208,yes,jul,,secondary,33,24,0,1,0,married,blue-collar,cellular,14,no,-1,0
no,75,yes,oct,failure,,45,13,1,2,886,married,technician,cellular,11,no,42,0
no,157,yes,may,,primary,44,5,0,4,38,single,blue-collar,cellular,15,no,-1,0
no,313,no,jan,failure,tertiary,36,29,3,1,202,married,technician,cellular,11,no,120,1
yes,461,yes,jul,,tertiary,45,7,0,2,1447,married,management,cellular,17,no,-1,0
no,720,no,aug,,secondary,31,11,0,1,0,married,management,cellular,10,no,-1,1
no,111,yes,aug,,tertiary,50,18,0,2,5124,married,management,cellular,14,no,-1,0
no,265,yes,may,,secondary,38,27,0,2,750,married,technician,,14,no,-1,0
no,46,no,jul,,primary,46,7,0,5,3969,married,blue-collar,telephone,12,no,-1,0
no,141,yes,may,,primary,36,29,0,9,235,single,self-employed,,14,no,-1,0
no,37,no,feb,,primary,80,26,0,1,1021,married,retired,telephone,11,no,-1,0
no,438,no,jul,other,primary,41,3,1,2,0,married,entrepreneur,cellular,12,no,389,1
no,116,no,jul,,tertiary,32,3,0,1,92,married,management,,9,no,-1,0
no,172,yes,may,,secondary,44,8,0,1,-617,married,blue-collar,,12,yes,-1,0
no,37,yes,may,,secondary,33,5,0,1,258,married,admin.,cellular,14,no,-1,0
no,541,no,nov,,secondary,46,25,0,1,38,married,housemaid,cellular,15,no,-1,1
no,259,no,nov,failure,secondary,67,13,2,1,1146,married,retired,cellular,11,no,92,1
yes,25,yes,jul,success,secondary,53,2,1,1,36,divorced,services,,12,no,417,1
no,108,no,jul,,primary,57,9,0,2,389,married,admin.,cellular,15,no,-1,0
no,309,no,jan,,secondary,39,29,0,3,656,married,self-employed,cellular,17,no,-1,0
yes,591,yes,may,,primary,53,7,0,1,-291,divorced,services,,15,no,-1,1
no,312,yes,may,,secondary,55,7,0,1,2854,married,blue-collar,cellular,14,no,-1,0
no,205,yes,may,,secondary,50,5,0,2,1234,married,technician,,14,no,-1,0
no,976,no,feb,,primary,28,4,0,2,198,single,services,cellular,12,no,-1,1
no,162,yes,jun,,,50,19,0,3,1389,married,blue-collar,,16,no,-1,0
no,460,yes,may,,secondary,29,12,0,1,382,single,admin.,,15,no,-1,0
